geneid	Bd21_D2_mock_R1	Bd21_D2_mock_R2	Bd21_D2_mock_R3	Bd21_D2_treated_R1	Bd21_D2_treated_R2	Bd21_D2_treated_R3	Bd21_D4_mock_R1	Bd21_D4_mock_R2	Bd21_D4_mock_R3	Bd21_D4_treated_R1	Bd21_D4_treated_R2	Bd21_D4_treated_R3	Bd21_D6_mock_R1	Bd21_D6_mock_R2	Bd21_D6_mock_R3	Bd21_D6_treated_R1	Bd21_D6_treated_R2	Bd21_D6_treated_R3
BdiBd21-3.1G0720500	18.3711665956405	31.6929177226762	18.9884323191835	40.9713681056104	22.5551309869227	15.3012522883336	15.7624269081399	15.7698765696027	21.5594044041428	9.70124944049161	19.257235885754	12.856802941022	23.3160876882	18.4553525861099	44.8791037102259	14.6303555099054	13.3488378091813	16.2050250449243
BdiBd21-3.2G0426100	16.9050757053635	30.7689859252867	19.1762380576238	40.6936379876163	23.111027162662	15.6973564671732	15.4760952565506	14.2927865470683	19.1722161403569	9.86049388013144	15.4338048339213	14.9099683974685	18.5860241805199	14.1236996285484	35.3488862035979	14.0013914550203	13.30791799439	14.7961590475851
BdiBd21-3.2G0638500	5.97379970981022	40.3321444500095	19.7076068310119	22.5143809832549	11.0772505577208	7.1539079406299	4.74845143944518	3.47942385730482	9.59877344830585	2.48697284385484	2.20587618946359	2.84244225114301	7.14671760369499	4.81999273037765	28.5421157189965	1.25255166275841	1.28761592734835	2.74072225463533
BdiBd21-3.3G0369400	2.05755926645264	12.0870288648585	7.3102195043682	11.1210433262249	4.26707801649865	2.16858699318497	1.84736572520423	1.09452857299629	3.61335541708057	0.906256359950626	0.87419135645849	0.467273641755493	2.76562855732626	1.89769695672306	10.8555608029119	0.414391816799861	0.368274531769014	0.867740590929716
BdiBd21-3.4G0429400	2.65821477442352	20.5610607357861	9.4725895445088	13.0304954171723	5.02208637899466	3.07042706251408	2.06177454104619	0.867052508592034	3.80322352224783	0.959011193801074	0.68591269981161	0.744726826039053	3.22980609563501	2.30287337417638	14.9461727691746	0.318074013259315	0.30416582496355	0.869976617213116
BdiBd21-3.2G0263400	0.0631668770960214	0.0486045574707128	0.143670388583744	0.104972802356565	0.0452258093782071	0.145164445100689	0.0472616291941873	0.0624651167108432	0.13077075325599	0.141550452617677	0.0864766882507777	0.144448769523403	0.211531924870854	0.0954527940623829	0.114782379425535	0.106936785756571	0.0287608611443605	0.171677132266265
BdiBd21-3.3G0022600	8.44331787199155	11.6266272705056	9.09168388046024	12.2356107512934	8.57604209902213	9.87019910327532	6.04324339403833	7.06358166886781	7.81089237450189	7.81860099513557	6.69473080519214	5.75470926536232	6.49523232101389	6.18570181743651	6.58966325257831	5.74391693638913	6.07928105114568	5.32621920050894
BdiBd21-3.3G0158700	0.093577161907282	0.162009310799839	0.0399069926910018	0.0466528853740028	0	0	0	0	0	0	0.0640544810007576	0	0.0705080822536862	0	0.0425104492948048	0.0297035845009858	0	0.0317909075539647
BdiBd21-3.3G0784000	10.8808675614526	7.47101161987365	6.70636643346105	13.3834566640227	11.4084054745965	13.1643565128107	7.08631782722791	5.65488272833689	6.74136796236598	14.2493141129526	10.9274458184148	10.7610773251324	10.0336447529554	8.64121264694874	11.4013391703855	13.3615800705836	11.9064205877103	12.6815947770336
BdiBd21-3.3G0802000	16.7054856578841	16.3150077632502	16.3649536562346	21.4729968421497	20.8439521134174	25.4073375570243	18.8978280667222	18.0754807903988	18.5306368041137	26.1401449548661	21.4748757942966	21.0363091777041	23.4826978082268	29.3788048359571	26.7326280866182	24.2490098002015	20.7911365508779	24.1766628050435
