gene_a	gene_b	score
1302285200	1302421400	3.2191896
1302285200	2102142800	3.8949797
1302285200	2102224000	3.034558
1302285200	2102512100	3.034483
1302285200	2202274200	3.0204766
1302285200	2202337800	3.2908027
1302285200	2202354400	3.3743477
1302285200	2202376100	3.0978663
1302285200	2202537300	3.1201036
1302285200	2302103300	3.0081723
1302285200	2302164400	3.0179489
1302285200	2302177500	3.26258
1302285200	3102085400	3.3428524
1302285200	3102183700	3.2618911
1302285200	3102203100	3.2964883
1302285200	3102298800	3.128646
1302285200	3202197500	3.2626755
1302285200	3202308800	3.2971344
1302285200	3302097000	3.176328
1302285200	3302353600	3.3478906
1302285200	4102008300	3.2997324
1302285200	4102019900	3.0628097
1302285200	4102190600	3.0150461
1302285200	4102239800	3.02908
1302285200	4202052200	3.7463777
1302285200	4202126200	3.2048352
1302285200	4302117800	3.0484776
1302285200	5102194900	3.1237497
1302285200	5202057800	3.22628
1302285200	5202288700	3.2510903
1302285200	5202291500	3.8025563
1302285200	5202321800	3.2671728
1302285200	5302437100	3.2457645
1302285200	6102047700	3.1176755
1302285200	6102208300	3.13397
1302285200	6102349700	4.3800006
1302285200	6202236800	3.4558482
1302285200	6202376500	3.6549325
1302285200	6302041600	3.1569736
1302285200	6302191900	3.329913
1302285200	6302326400	3.800546
1302285200	7102003600	3.040987
1302285200	7102205200	3.207591
1302285200	7102332000	3.1126854
1302285200	7202233400	3.469015
1302285200	7202243500	3.1382563
1302285200	7302214900	3.3396616
1302296300	1302414600	3.033666
1302296300	2202282400	3.0034227
1302296300	2202355000	3.1678965
1302296300	2302103300	3.0926793
1302296300	2302214500	3.0691962
1302296300	3102268800	3.2357323
1302296300	3302302900	3.0050082
1302296300	3302493700	3.4261703
1302296300	4302318900	3.011384
1302296300	5202492500	3.174902
1302296300	5302382400	3.208509
1302296300	5302492900	3.4642897
1302296300	5302565100	3.2619383
1302296300	6102263400	3.3574061
1302296300	6302251600	3.1420355
1302296300	7102078000	3.707088
1302296300	502017600	3.200615
1302308100	1302414600	3.4428365
1302308100	2102125200	3.1297529
1302308100	2102147400	3.063148
1302308100	2102291800	3.08963
1302308100	2102303900	3.6524014
1302308100	2102477900	3.8132167
1302308100	2102512100	3.0166233
1302308100	2202097300	3.112457
1302308100	2202200300	3.096086
1302308100	2202239600	3.931094
1302308100	2202282400	3.2372313
1302308100	2202320500	3.5749357
1302308100	2202534700	3.0297575
1302308100	2302080800	3.1791472
1302308100	2302161400	3.3263953
1302308100	2302214500	3.6127133
1302308100	2302248700	3.0245261
1302308100	2302261500	3.0725355
1302308100	2302279200	3.2331512
1302308100	2302280600	3.2820735
1302308100	2302288600	3.3788395
1302308100	2302302500	3.1382716
1302308100	2302450100	3.5196264
1302308100	2302453800	3.171312
1302308100	2302460600	3.445629
1302308100	3102043700	3.0594888
1302308100	3102082100	3.2666821
1302308100	3102167200	3.0781054
1302308100	3102184500	3.7730947
1302308100	3102185500	3.1213064
1302308100	3102193800	3.1983798
1302308100	3102376400	3.5171666
1302308100	3102530400	3.0442247
1302308100	3202102100	3.2665982
1302308100	3202184000	3.0596557
1302308100	3202232600	3.1110578
1302308100	3202477100	3.0697074
1302308100	3302050900	3.333405
1302308100	3302079800	3.0014741
1302308100	3302149300	3.2817922
1302308100	3302173300	3.7663212
1302308100	3302195500	3.7074616
1302308100	3302230600	3.434437
1302308100	3302315100	3.3093274
1302308100	3302348500	3.2007725
1302308100	3302435900	3.016416
1302308100	3302493700	3.368652
1302308100	4102099900	3.8458717
1302308100	4102106400	3.693434
1302308100	4102122400	3.063275
1302308100	4102192500	3.0286229
1302308100	4102252800	3.1882665
1302308100	4102260600	3.3010921
1302308100	4102262700	3.1883721
1302308100	4102293000	3.5881255
1302308100	4102335300	3.3689
1302308100	4102401400	3.1095717
1302308100	4102456300	3.674465
1302308100	4202062500	3.444101
1302308100	4202356800	3.20695
1302308100	4202395100	3.3011081
1302308100	4302006900	3.0042279
1302308100	4302026800	3.682751
1302308100	4302042000	3.108944
1302308100	4302061400	3.071996
1302308100	4302094500	3.3814876
1302308100	4302151100	3.1943572
1302308100	4302157700	3.6645875
1302308100	4302167600	3.0776165
1302308100	4302250100	3.346645
1302308100	5102025400	3.0860565
1302308100	5102038500	3.2078362
1302308100	5102048400	3.0491729
1302308100	5102052100	3.525396
1302308100	5102267500	3.0309103
1302308100	5102279500	3.15355
1302308100	5102292400	3.801983
1302308100	5102317600	3.756581
1302308100	5102372900	3.3197443
1302308100	5102415400	3.0236619
1302308100	5102512400	3.2912664
1302308100	5202023300	3.6143162
1302308100	5202039900	3.5163288
1302308100	5202141400	3.5778427
1302308100	5202208100	3.1164033
1302308100	5202299900	3.0009646
1302308100	5202326500	3.9034014
1302308100	5202374900	3.6703365
1302308100	5202418100	3.3802705
1302308100	5202420300	3.4826329
1302308100	5202492500	3.6519725
1302308100	5202509700	3.5043192
1302308100	5202515500	3.975497
1302308100	5202531400	3.1201255
1302308100	5202547000	3.1690626
1302308100	5302031800	3.3803592
1302308100	5302065000	3.219866
1302308100	5302187100	3.5649323
1302308100	5302286500	3.0919278
1302308100	5302366000	3.1353972
1302308100	5302382400	3.4438913
1302308100	5302386800	3.1328819
1302308100	5302423300	3.2344573
1302308100	5302459900	3.0044708
1302308100	5302492900	3.516802
1302308100	5302515700	3.1602206
1302308100	5302565100	3.219212
1302308100	6102263400	3.7545838
1302308100	6102392400	3.5043776
1302308100	6102409600	3.2397974
1302308100	6202050600	3.2766638
1302308100	6202317200	3.3659182
1302308100	6202318900	3.024414
1302308100	6202322300	3.4823537
1302308100	6202376200	3.1354632
1302308100	6302001600	3.3163996
1302308100	6302004200	3.2005398
1302308100	6302135100	3.225647
1302308100	6302154100	3.0528603
1302308100	6302198100	3.0379543
1302308100	6302198700	3.2573826
1302308100	6302268500	3.0732343
1302308100	7102041100	3.1913657
1302308100	7102067800	3.5921679
1302308100	7102225800	3.252795
1302308100	7102313700	3.2912138
1302308100	7102461200	3.5373304
1302308100	7102549800	3.0309503
1302308100	7202070100	3.0366693
1302308100	7202122800	3.1615446
1302308100	7202187200	4.082608
1302308100	7202212300	3.8064027
1302308100	7202219000	3.0761998
1302308100	7202259000	3.2615144
1302308100	7202309500	3.195609
1302308100	7202319200	3.1041687
1302308100	7202331600	3.9682128
1302308100	7202362700	4.127908
1302308100	7202370800	3.6453931
1302308100	7302030000	3.6534667
1302308100	7302217500	3.2484512
1302308100	7302252500	3.1685772
1302308100	7302256800	3.4626057
1302308100	7302316100	3.3279548
1302308100	7302324900	3.0870156
1302308100	7302340200	3.0070584
1302308100	7302341300	4.255241
1302308100	7302360200	3.1099207
1302308100	7302451700	3.0789938
1302308100	502111800	3.0587978
1302308100	502137700	3.5283413
1302310900	2102014300	3.172238
1302310900	2102122200	3.1172562
1302310900	2102125200	3.213559
1302310900	2102184500	3.7121716
1302310900	2102220900	3.6881368
1302310900	2102246300	3.1261418
1302310900	2102262500	3.2421575
1302310900	2102303900	3.1595817
1302310900	2102314500	3.0085547
1302310900	2202097300	3.164753
1302310900	2202137300	3.1553771
1302310900	2202147700	3.2002368
1302310900	2202184300	3.7781003
1302310900	2202196500	3.6333644
1302310900	2202282400	3.227038
1302310900	2202348800	3.5578873
1302310900	2302080800	3.3527343
1302310900	2302177300	3.2396572
1302310900	2302248700	3.1929686
1302310900	2302329900	3.3013277
1302310900	2302450100	3.4064562
1302310900	2302460600	3.2041306
1302310900	3102082100	3.4215431
1302310900	3102184500	3.2269242
1302310900	3102323800	3.0487754
1302310900	3102417000	3.1124697
1302310900	3102481500	3.206665
1302310900	3102530400	3.3406596
1302310900	3202004800	3.1330762
1302310900	3202008600	3.1876369
1302310900	3202106100	3.3805745
1302310900	3202163700	3.0458908
1302310900	3202303200	3.248772
1302310900	3202376000	3.0397198
1302310900	3202473000	3.1225708
1302310900	3202559400	3.3099782
1302310900	3302050900	3.1280866
1302310900	3302082300	3.243047
1302310900	3302173300	3.140229
1302310900	3302195500	3.0737321
1302310900	3302230600	3.0991232
1302310900	3302250900	3.4502401
1302310900	3302326800	3.27005
1302310900	3302348500	3.9127254
1302310900	3302493700	3.0337477
1302310900	4102106400	3.581063
1302310900	4102275900	3.1064062
1302310900	4102279100	3.2174056
1302310900	4102323500	3.0315254
1302310900	4202062500	3.1939592
1302310900	4202182300	3.585386
1302310900	4202244500	3.0333874
1302310900	4202259200	3.1133716
1302310900	4202356800	3.187618
1302310900	4202373400	3.0168064
1302310900	4302006900	3.114539
1302310900	4302026800	3.4099202
1302310900	4302061400	3.0016606
1302310900	4302094500	3.1177816
1302310900	4302151100	3.0752487
1302310900	4302167600	3.5828717
1302310900	4302244900	3.0777009
1302310900	4302250100	3.397028
1302310900	4302363900	3.1686273
1302310900	5102279500	3.3704526
1302310900	5102302400	3.4502053
1302310900	5102372700	3.010435
1302310900	5102372900	3.52031
1302310900	5102415400	3.4350445
1302310900	5102512400	3.046733
1302310900	5102540800	3.1664636
1302310900	5202141400	3.0146804
1302310900	5202278800	3.2752135
1302310900	5202299900	3.130853
1302310900	5202374900	3.210981
1302310900	5202418100	3.381885
1302310900	5202492500	3.0579417
1302310900	5202509700	3.0752463
1302310900	5302020900	3.0892246
1302310900	5302338900	3.1858916
1302310900	5302366000	3.366163
1302310900	5302378100	3.2367566
1302310900	5302382400	3.210174
1302310900	5302423300	3.163193
1302310900	5302536700	3.1241293
1302310900	5302564100	3.1156063
1302310900	6102088700	3.1014614
1302310900	6102112800	3.6721885
1302310900	6102291200	3.6007557
1302310900	6102315300	3.1104789
1302310900	6102334300	3.0135722
1302310900	6102392400	3.1366506
1302310900	6102409600	3.413843
1302310900	6202318900	3.0396636
1302310900	6302033000	3.3574443
1302310900	6302097300	3.0313904
1302310900	6302102400	3.375218
1302310900	6302174000	3.078538
1302310900	6302198100	3.0121534
1302310900	6302267600	3.1850336
1302310900	6302272600	3.0143523
1302310900	7102033300	3.0819302
1302310900	7102067800	3.374346
1302310900	7102225800	3.0054808
1302310900	7102276500	3.0294569
1302310900	7102313700	3.3370183
1302310900	7102461200	3.1410298
1302310900	7102549800	3.312559
1302310900	7202237600	3.0849898
1302310900	7202259000	3.3105364
1302310900	7202259700	3.150183
1302310900	7202309500	3.4583166
1302310900	7202319200	3.7424054
1302310900	7302217500	3.579787
1302310900	7302222200	3.1532404
1302310900	7302235700	3.0151577
1302310900	7302262600	3.1598878
1302310900	7302313800	3.2116644
1302310900	7302341300	3.2634978
1302310900	7302360200	3.183609
1302310900	7302409000	3.0189738
1302310900	7302466700	3.6739109
1302310900	7302479800	3.1286771
1302310900	502137700	3.510696
1302316900	1302393000	3.2887955
1302316900	1302421400	3.0676892
1302316900	2102090000	3.1362886
1302316900	2102132900	3.1323447
1302316900	2102224000	3.115289
1302316900	2102236600	3.0640113
1302316900	2102283800	3.436654
1302316900	2102380700	3.639632
1302316900	2202113800	3.1619117
1302316900	2202156400	3.0402043
1302316900	2202309100	3.2350433
1302316900	2302355700	3.0723925
1302316900	3102183700	3.3133392
1302316900	3102203100	3.3427863
1302316900	3102327200	3.5866416
1302316900	3102336600	3.584769
1302316900	3202197500	3.279677
1302316900	3302279100	3.011035
1302316900	4102217900	3.0829165
1302316900	4102388200	3.1367495
1302316900	4202395700	3.4650092
1302316900	4302148600	3.0308912
1302316900	4302162000	3.4055653
1302316900	4302166700	3.2527556
1302316900	4302214000	3.0056906
1302316900	4302282500	3.0834582
1302316900	4302312900	3.4134507
1302316900	5102226000	3.234647
1302316900	5102534900	3.110767
1302316900	5102557300	3.8527768
1302316900	5202057800	3.209897
1302316900	5302341800	3.293041
1302316900	5302436900	3.012331
1302316900	6102116500	3.2876244
1302316900	6102125800	3.162735
1302316900	6202285900	3.069072
1302316900	6302105500	3.1926105
1302316900	7102233500	3.1916044
1302316900	7102285600	3.629148
1302316900	7102372600	3.277845
1302316900	7202167300	3.312881
1302316900	7302029800	3.0134583
1302316900	7302293600	3.4229703
1302316900	7302350300	3.2529645
1302339700	2102224000	3.177071
1302339700	3102183700	3.2792456
1302339700	3202197500	3.22296
1302339700	6102309200	3.2588987
1302339700	6202285900	3.3505116
1302339700	7102233500	3.1572452
1302339700	7202259000	3.048173
1302339700	7302282700	3.0381866
1302339700	7302293600	3.1710215
1302339700	7302350300	3.1110864
1302371000	2102126700	3.1117868
1302371000	2102184500	3.0238888
1302371000	2102246300	3.0776708
1302371000	2202279600	3.028902
1302371000	2202348800	3.1405826
1302371000	2202476700	3.0457087
1302371000	2302203200	3.0966127
1302371000	2302329900	3.1295683
1302371000	2302458100	3.0352504
1302371000	3102356400	3.0185792
1302371000	3102530400	3.3153691
1302371000	3202178100	3.4380505
1302371000	3202212800	3.5484166
