geneid,cluster
TRAESCS2A02G146000,0
TRAESCS2A02G149300,0
TRAESCS2A02G152000,0
TRAESCS2A02G152900,0
TRAESCS2A02G153000,0
TRAESCS2A02G154300,0
TRAESCS2A02G154600,0
TRAESCS2A02G155100,0
TRAESCS2A02G155200,0
TRAESCS2A02G155600,0
TRAESCS2A02G155700,0
TRAESCS2A02G161300,0
TRAESCS2A02G161700,0
TRAESCS2A02G163600,0
TRAESCS2A02G163800,0
TRAESCS2A02G164600,0
TRAESCS2A02G167500,0
TRAESCS2A02G168200,0
TRAESCS2A02G169300,0
TRAESCS2A02G170000,0
TRAESCS2A02G170600,0
TRAESCS2A02G171000,0
TRAESCS2A02G174400,0
TRAESCS2A02G175600,0
TRAESCS2A02G175900,0
TRAESCS2A02G176000,0
TRAESCS2A02G176100,0
TRAESCS2A02G176200,0
TRAESCS2A02G179783,0
TRAESCS2A02G182800,0
TRAESCS2A02G183900,0
TRAESCS2A02G184700,0
TRAESCS2A02G187100,0
TRAESCS2A02G187300,0
TRAESCS2A02G188000,0
TRAESCS2A02G190200,0
TRAESCS2A02G190800,0
TRAESCS2A02G193300,0
TRAESCS2A02G194900,0
TRAESCS2A02G196000,0
TRAESCS2A02G198500,0
TRAESCS2A02G200300,0
TRAESCS2A02G201900,0
TRAESCS2A02G202000,0
TRAESCS2A02G204300,0
TRAESCS2A02G210300,0
TRAESCS2A02G212000,0
TRAESCS2A02G214700,0
TRAESCS2A02G215800,0
TRAESCS2A02G219000,0
TRAESCS2A02G220100,0
TRAESCS2A02G220400,0
TRAESCS2A02G222300,0
TRAESCS2A02G222500,0
TRAESCS2A02G224000,0
TRAESCS2A02G232800,0
TRAESCS2A02G237000,0
TRAESCS2A02G243400,0
TRAESCS2A02G245200,0
TRAESCS2A02G248800,0
TRAESCS2A02G252800,0
TRAESCS2A02G254300,0
TRAESCS2A02G257700,0
TRAESCS2A02G259600,0
TRAESCS2A02G262000,0
TRAESCS2A02G262400,0
TRAESCS2A02G264500,0
TRAESCS2A02G269400,0
TRAESCS2A02G270600,0
TRAESCS2A02G273100,0
TRAESCS2A02G274800,0
TRAESCS2A02G277100,0
TRAESCS2A02G280700,0
TRAESCS2A02G282400,0
TRAESCS2A02G283600,0
TRAESCS2A02G288000,0
TRAESCS2A02G295800,0
TRAESCS2A02G298200,0
TRAESCS2A02G302500,0
TRAESCS2A02G304800,0
TRAESCS2A02G311200,0
TRAESCS2A02G315100,0
TRAESCS2A02G316500,0
TRAESCS2A02G320400,0
TRAESCS2A02G321600,0
TRAESCS2A02G326500,0
TRAESCS2A02G327100,0
TRAESCS2A02G327600,0
TRAESCS2A02G327900,0
TRAESCS2A02G330200,0
TRAESCS2A02G331700,0
TRAESCS2A02G334600,0
TRAESCS2A02G335000,0
TRAESCS2A02G336000,0
TRAESCS2A02G336200,0
TRAESCS2A02G337000,0
TRAESCS2A02G338800,0
TRAESCS2A02G341500,0
TRAESCS2A02G346000,0
TRAESCS2A02G347900,0
TRAESCS2A02G348300,0
TRAESCS2A02G349400,0
TRAESCS2A02G352000,0
TRAESCS2A02G352800,0
TRAESCS2A02G355400,0
TRAESCS2A02G356300,0
TRAESCS2A02G356500,0
TRAESCS2A02G356900,0
TRAESCS2A02G362600,0
TRAESCS2A02G363600,0
TRAESCS2A02G367700,0
TRAESCS2A02G368000,0
TRAESCS2A02G369700,0
TRAESCS2A02G371600,0
TRAESCS2A02G373200,0
TRAESCS2A02G377400,0
TRAESCS2A02G378300,0
TRAESCS2A02G380300,0
TRAESCS2A02G381900,0
TRAESCS2A02G382700,0
TRAESCS2A02G386800,0
TRAESCS2A02G389200,0
TRAESCS2A02G389900,0
TRAESCS2A02G390700,0
TRAESCS2A02G391400,0
TRAESCS2A02G396400,0
TRAESCS2A02G399200,0
TRAESCS2A02G399900,0
TRAESCS2A02G402000,0
TRAESCS2A02G404500,0
TRAESCS2A02G405000,0
TRAESCS2A02G406000,0
TRAESCS2A02G406900,0
TRAESCS2A02G408000,0
TRAESCS2A02G408200,0
TRAESCS2A02G415300,0
TRAESCS2A02G418400,0
TRAESCS2A02G421100,0
TRAESCS2A02G423500,0
TRAESCS2A02G424700,0
TRAESCS2A02G424900,0
TRAESCS2A02G425500,0
TRAESCS2A02G430100,0
TRAESCS2A02G430500,0
TRAESCS2A02G432700,0
TRAESCS2A02G435500,0
TRAESCS2A02G438200,0
TRAESCS2A02G450500,0
TRAESCS2A02G451300,0
TRAESCS2A02G456000,0
TRAESCS2A02G462600,0
TRAESCS2A02G467300,0
TRAESCS2A02G467700,0
TRAESCS2A02G473100,0
TRAESCS2A02G475900,0
TRAESCS2A02G478300,0
TRAESCS2A02G478600,0
TRAESCS2A02G480200,0
TRAESCS2A02G484000,0
TRAESCS2A02G487500,0
TRAESCS2A02G493600,0
TRAESCS2A02G493700,0
TRAESCS2A02G493800,0
TRAESCS2A02G499700,0
TRAESCS2A02G502400,0
TRAESCS2A02G505500,0
TRAESCS2A02G506500,0
TRAESCS2A02G507500,0
TRAESCS2A02G508800,0
TRAESCS2A02G508900,0
TRAESCS2A02G514200,0
TRAESCS2A02G517200,0
TRAESCS2A02G521400,0
TRAESCS2A02G523300,0
TRAESCS2A02G542700,0
TRAESCS2A02G544000,0
TRAESCS2A02G545600,0
TRAESCS2A02G545700,0
TRAESCS2A02G550900,0
TRAESCS2A02G556900,0
TRAESCS2A02G571300,0
TRAESCS2A02G581600,0
TRAESCS2A02G583800,0
TRAESCS2A02G583900,0
TRAESCS2A02G584900,0
TRAESCS2A02G585800,0
TRAESCS2A02G586100,0
TRAESCS2A02G591000,0
TRAESCS2A02G591200,0
TRAESCS2A02G591500,0
TRAESCS2A02G591700,0
TRAESCS2B02G040100,0
TRAESCS2B02G040200,0
TRAESCS2B02G041800,0
TRAESCS2B02G044400,0
TRAESCS2B02G046900,0
TRAESCS2B02G048700,0
TRAESCS2B02G050400,0
TRAESCS2B02G057300,0
TRAESCS2B02G069000,0
TRAESCS2B02G091600,0
TRAESCS2B02G097100,0
TRAESCS2B02G100400,0
TRAESCS2B02G103600,0
TRAESCS2B02G104300,0
TRAESCS2B02G105700,0
TRAESCS2B02G110300,0
TRAESCS2B02G110800,0
TRAESCS2B02G113200,0
TRAESCS2B02G118400,0
TRAESCS2B02G118500,0
TRAESCS2B02G119200,0
TRAESCS2B02G119700,0
TRAESCS2B02G123900,0
TRAESCS2B02G129600,0
TRAESCS2B02G133200,0
TRAESCS2B02G137800,0
TRAESCS2B02G138600,0
TRAESCS2B02G140300,0
TRAESCS2B02G144300,0
TRAESCS2B02G148200,0
TRAESCS2B02G148400,0
TRAESCS2B02G148600,0
TRAESCS2B02G149000,0
TRAESCS2B02G150300,0
TRAESCS2B02G157700,0
TRAESCS2B02G166800,0
TRAESCS2B02G167100,0
TRAESCS2B02G171200,0
TRAESCS2B02G171400,0
TRAESCS2B02G174500,0
TRAESCS2B02G177100,0
