geneid,cluster
BDIBD2G0382200,0
BDIBD2G0383750,0
BDIBD2G0384600,0
BDIBD2G0400800,0
BDIBD2G0401300,0
BDIBD2G0404800,0
BDIBD2G0404900,0
BDIBD2G0405000,0
BDIBD2G0405600,0
BDIBD2G0414500,0
BDIBD2G0414800,0
BDIBD2G0422500,0
BDIBD2G0424000,0
BDIBD2G0429000,0
BDIBD2G0434900,0
BDIBD2G0435000,0
BDIBD2G0436100,0
BDIBD2G0436200,0
BDIBD2G0437800,0
BDIBD2G0447100,0
BDIBD2G0451000,0
BDIBD2G0452300,0
BDIBD2G0469000,0
BDIBD2G0472200,0
BDIBD2G0472900,0
BDIBD2G0474100,0
BDIBD2G0474200,0
BDIBD2G0474300,0
BDIBD2G0480000,0
BDIBD2G0488100,0
BDIBD2G0488600,0
BDIBD2G0489950,0
BDIBD2G0490000,0
BDIBD2G0492400,0
BDIBD2G0497000,0
BDIBD2G0499000,0
BDIBD2G0503625,0
BDIBD2G0505000,0
BDIBD2G0506700,0
BDIBD2G0506800,0
BDIBD2G0509900,0
BDIBD2G0513200,0
BDIBD2G0523600,0
BDIBD2G0523700,0
BDIBD2G0524500,0
BDIBD2G0533300,0
BDIBD2G0533400,0
BDIBD2G0535800,0
BDIBD2G0536000,0
BDIBD2G0543900,0
BDIBD2G0548600,0
BDIBD2G0548800,0
BDIBD2G0549600,0
BDIBD2G0550100,0
BDIBD2G0553400,0
BDIBD2G0556000,0
BDIBD2G0557100,0
BDIBD2G0557200,0
BDIBD2G0558600,0
BDIBD2G0577700,0
BDIBD2G0578900,0
BDIBD2G0579300,0
BDIBD2G0581300,0
BDIBD2G0585400,0
BDIBD2G0585600,0
BDIBD2G0586600,0
BDIBD2G0590200,0
BDIBD2G0590900,0
BDIBD2G0591000,0
BDIBD2G0591400,0
BDIBD2G0595900,0
BDIBD2G0599200,0
BDIBD2G0604300,0
BDIBD2G0607150,0
BDIBD2G0609600,0
BDIBD2G0610566,0
BDIBD2G0612400,0
BDIBD2G0613200,0
BDIBD2G0614000,0
BDIBD2G0617600,0
BDIBD2G0624600,0
BDIBD2G0626500,0
BDIBD2G0631900,0
BDIBD2G0638700,0
BDIBD2G0644600,0
BDIBD2G0645800,0
BDIBD2G0647100,0
BDIBD2G0650400,0
BDIBD2G0651500,0
BDIBD2G0664000,0
BDIBD2G0665000,0
BDIBD2G0673800,0
BDIBD2G0675500,0
BDIBD2G0677600,0
BDIBD2G0685800,0
BDIBD2G0694200,0
BDIBD2G0694700,0
BDIBD2G0705200,0
BDIBD2G0708500,0
BDIBD2G0709800,0
BDIBD2G0715700,0
BDIBD2G0716800,0
BDIBD2G0719700,0
BDIBD2G0721200,0
BDIBD2G0721400,0
BDIBD2G0731800,0
BDIBD2G0740700,0
BDIBD2G0751300,0
BDIBD2G0754800,0
BDIBD2G0755000,0
BDIBD2G0756300,0
BDIBD2G0756600,0
BDIBD2G0758200,0
BDIBD2G0759200,0
BDIBD2G0768400,0
BDIBD2G0772600,0
BDIBD2G0780301,0
BDIBD2G0787200,0
BDIBD2G0788000,0
BDIBD2G0793000,0
BDIBD2G0793400,0
BDIBD2G0794800,0
BDIBD2G0796800,0
BDIBD2G0797800,0
BDIBD2G0802100,0
BDIBD3G0003000,0
BDIBD3G0006000,0
BDIBD3G0008500,0
BDIBD3G0015500,0
BDIBD3G0016100,0
BDIBD3G0017400,0
BDIBD3G0024400,0
BDIBD3G0026400,0
BDIBD3G0026600,0
BDIBD3G0027700,0
BDIBD3G0034400,0
BDIBD3G0035300,0
BDIBD3G0037100,0
BDIBD3G0038100,0
BDIBD3G0038200,0
BDIBD3G0038400,0
BDIBD3G0039500,0
BDIBD3G0053700,0
BDIBD3G0057600,0
BDIBD3G0064800,0
BDIBD3G0074800,0
BDIBD3G0075301,0
BDIBD3G0077400,0
BDIBD3G0079400,0
BDIBD3G0090300,0
BDIBD3G0091800,0
BDIBD3G0096100,0
BDIBD3G0096200,0
BDIBD3G0101300,0
BDIBD3G0104600,0
BDIBD3G0104700,0
BDIBD3G0105500,0
BDIBD3G0108800,0
BDIBD3G0109000,0
BDIBD3G0109200,0
BDIBD3G0111900,0
BDIBD3G0112900,0
BDIBD3G0113000,0
BDIBD3G0113300,0
BDIBD3G0115900,0
BDIBD3G0119500,0
BDIBD3G0123400,0
BDIBD3G0124600,0
BDIBD3G0126300,0
BDIBD3G0126400,0
BDIBD3G0127900,0
BDIBD3G0137500,0
BDIBD3G0146400,0
BDIBD3G0150350,0
BDIBD3G0150500,0
BDIBD3G0156200,0
BDIBD3G0166801,0
BDIBD3G0171700,0
BDIBD3G0172200,0
BDIBD3G0180000,0
BDIBD3G0181100,0
BDIBD3G0183100,0
BDIBD3G0186500,0
BDIBD3G0193900,0
BDIBD3G0195733,0
BDIBD3G0196900,0
BDIBD3G0199600,0
BDIBD3G0206200,0
BDIBD3G0206600,0
BDIBD3G0207500,0
BDIBD3G0209300,0
BDIBD3G0219100,0
BDIBD3G0227400,0
BDIBD3G0228500,0
BDIBD3G0229600,0
BDIBD3G0229800,0
BDIBD3G0233300,0
BDIBD3G0234400,0
BDIBD3G0243800,0
BDIBD3G0244100,0
BDIBD3G0251200,0
BDIBD3G0271000,0
BDIBD3G0272500,0
BDIBD3G0297900,0
BDIBD3G0303200,0
BDIBD3G0306400,0
BDIBD3G0306500,0
BDIBD3G0307100,0
BDIBD3G0309700,0
BDIBD3G0311800,0
BDIBD3G0315100,0
BDIBD3G0318400,0
BDIBD3G0320900,0
BDIBD3G0321300,0
BDIBD3G0329200,0
BDIBD3G0329900,0
BDIBD3G0337900,0
BDIBD3G0345400,0
BDIBD3G0346000,0
BDIBD3G0348200,0
BDIBD3G0358100,0
BDIBD3G0358200,0
BDIBD3G0360400,0
BDIBD3G0361500,0
BDIBD3G0366700,0
BDIBD3G0367100,0
BDIBD3G0367400,0
BDIBD3G0368000,0
BDIBD3G0368200,0
BDIBD3G0368300,0
BDIBD3G0370400,0
BDIBD3G0389700,0
BDIBD3G0395600,0
BDIBD3G0396900,0
BDIBD3G0407700,0
BDIBD3G0410600,0
BDIBD3G0411100,0
BDIBD3G0412200,0
BDIBD3G0419800,0
BDIBD3G0423300,0
BDIBD3G0426600,0
BDIBD3G0427900,0
BDIBD3G0440900,0
BDIBD3G0441100,0
BDIBD3G0443100,0
BDIBD3G0445100,0
BDIBD3G0446600,0
BDIBD3G0448800,0
BDIBD3G0463800,0
BDIBD3G0467900,0
BDIBD3G0469600,0
BDIBD3G0475000,0
BDIBD3G0475200,0
BDIBD3G0475700,0
BDIBD3G0486300,0
BDIBD3G0488000,0
BDIBD3G0488100,0
BDIBD3G0492300,0
BDIBD3G0492500,0
BDIBD3G0494300,0
BDIBD3G0495500,0
BDIBD3G0497800,0
BDIBD3G0508300,0
BDIBD3G0510400,0
BDIBD3G0512000,0
BDIBD3G0512700,0
BDIBD3G0517300,0
BDIBD3G0518600,0
BDIBD3G0521500,0
BDIBD3G0526800,0
BDIBD3G0529900,0
BDIBD3G0534600,0
BDIBD3G0536400,0
BDIBD3G0536800,0
BDIBD3G0548100,0
BDIBD3G0548300,0
BDIBD3G0548600,0
BDIBD3G0549200,0
BDIBD3G0549900,0
BDIBD3G0552200,0
BDIBD3G0554700,0
BDIBD3G0555400,0
BDIBD3G0559400,0
BDIBD3G0559500,0
BDIBD3G0560200,0
BDIBD3G0566300,0
BDIBD3G0566400,0
BDIBD3G0570000,0
BDIBD3G0572100,0
BDIBD3G0583400,0
BDIBD3G0591900,0
BDIBD3G0593600,0
BDIBD3G0593800,0
BDIBD3G0593900,0
BDIBD3G0600201,0
BDIBD3G0600600,0
BDIBD3G0603800,0
BDIBD3G0609000,0
BDIBD3G0610100,0
BDIBD3G0611300,0
BDIBD3G0616700,0
BDIBD3G0619700,0
BDIBD3G0619800,0
BDIBD3G0621400,0
BDIBD3G0622500,0
BDIBD3G0628650,0
BDIBD3G0630400,0
BDIBD3G0631200,0
BDIBD3G0637700,0
BDIBD3G0641200,0
BDIBD3G0642100,0
BDIBD3G0645200,0
BDIBD3G0645900,0
BDIBD3G0649000,0
BDIBD3G0649800,0
BDIBD3G0660000,0
BDIBD3G0660200,0
BDIBD3G0662600,0
BDIBD3G0665700,0
BDIBD3G0666100,0
BDIBD3G0674200,0
BDIBD3G0675100,0
BDIBD3G0677200,0
BDIBD3G0677800,0
BDIBD3G0682200,0
BDIBD3G0682500,0
BDIBD3G0682600,0
BDIBD3G0682800,0
BDIBD3G0696000,0
BDIBD3G0700300,0
BDIBD3G0702800,0
BDIBD3G0702900,0
BDIBD3G0705000,0
BDIBD3G0706500,0
BDIBD3G0706900,0
BDIBD3G0715900,0
BDIBD3G0717800,0
BDIBD3G0719200,0
BDIBD3G0720800,0
BDIBD3G0724900,0
BDIBD3G0733800,0
BDIBD3G0735100,0
BDIBD3G0736200,0
BDIBD3G0738500,0
BDIBD3G0739300,0
BDIBD3G0740100,0
BDIBD3G0741600,0
BDIBD3G0745700,0
BDIBD3G0745800,0
BDIBD3G0748900,0
BDIBD3G0753300,0
BDIBD3G0753700,0
BDIBD3G0754600,0
BDIBD3G0756700,0
BDIBD3G0759200,0
BDIBD3G0759300,0
BDIBD3G0759900,0
BDIBD3G0761200,0
BDIBD3G0763900,0
BDIBD3G0765300,0
BDIBD3G0780200,0
BDIBD3G0781000,0
BDIBD3G0790800,0
BDIBD3G0796600,0
BDIBD3G0802600,0
BDIBD3G0803400,0
BDIBD4G0003100,0
BDIBD4G0005600,0
BDIBD4G0006050,0
BDIBD4G0006100,0
BDIBD4G0010300,0
BDIBD4G0010400,0
BDIBD4G0011300,0
BDIBD4G0013800,0
BDIBD4G0023500,0
